"","fticrWEOM_processed_60846_2_BTM_rep1_aq2","fticrWEOM_processed_60846_5_BTM_rep1_aq2"
"C5 H11 O1 P1",1,0
"C5 H10 O3",1,0
"C7 H6 O2",1,1
"C7 H10 O2",1,1
"C6 H8 O3",1,0
"C7 H12 O2",1,0
"C5 H7 O3 N1",1,0
"C5 H6 O4",1,0
"C6 H10 O3",1,1
"C7 H14 O2",1,1
"C5 H8 O4",1,1
"C6 H12 O3",1,1
"C8 H8 O2",1,1
"C7 H6 O3",1,1
"C6 H6 O2 N2",1,0
"C6 H5 O3 N1",1,0
"C7 H8 O3",1,1
"C8 H12 O2",1,1
"C7 H10 O3",1,1
"C8 H14 O2",1,0
"C6 H8 O4",1,1
"C7 H12 O3",1,1
"C8 H16 O2",1,1
"C9 H7 O1 N1",1,0
"C6 H11 O3 N1",1,0
"C6 H10 O4",1,1
"C7 H14 O3",1,1
"C5 H9 O4 N1",1,0
"C9 H8 O2",1,0
"C6 H12 O4",1,1
"C8 H6 O3",1,1
"C9 H10 O2",1,1
"C7 H5 O1 N1 S1",1,0
"C8 H8 O3",1,1
"C7 H8 O2 N2",1,1
"C9 H12 O2",1,1
"C7 H6 O4",1,1
"C8 H10 O3",1,1
"C9 H14 O2",1,1
"C7 H8 O4",1,1
"C8 H12 O3",1,1
"C7 H10 O4",1,1
"C8 H14 O3",1,1
"C9 H18 O2",1,1
"C7 H13 O3 N1",1,1
"C7 H12 O4",1,1
"C8 H16 O3",1,1
"C6 H10 O5",1,1
"C7 H14 O4",1,1
"C6 H13 O4 N1",1,1
"C9 H8 O3",1,1
"C5 H13 O2 N2 P1",1,1
"C10 H12 O2",1,1
"C9 H11 O2 N1",1,0
"C8 H6 O4",1,1
"C9 H10 O3",1,1
"C10 H14 O2",1,1
"C7 H5 O4 N1",1,0
"C8 H8 O4",1,1
"C5 H12 O4 S1",1,0
"C9 H12 O3",1,1
"C7 H6 O5",1,1
"C8 H10 O4",1,1
"C9 H14 O3",1,1
"C7 H8 O3 S1",1,1
"C7 H8 O5",1,1
"C8 H12 O4",1,1
"C9 H16 O3",1,1
"C10 H20 O2",1,1
"C10 H7 O2 N1",1,0
"C7 H11 O4 N1",1,0
"C8 H15 O3 N1",1,1
"C7 H10 O5",1,1
"C8 H14 O4",1,1
"C9 H18 O3",1,1
"C10 H9 O2 N1",1,0
"C6 H8 O6",1,0
"C7 H12 O5",1,1
"C8 H16 O4",1,1
"C6 H11 O5 N1",1,1
"C9 H6 O4",1,1
"C10 H10 O3",1,1
"C11 H14 O2",1,1
"C10 H13 O2 N1",1,0
"C9 H8 O4",1,1
"C10 H12 O3",1,1
"C5 H11 O4 N1 S1",1,0
"C4 H6 O4 S2",1,1
"C8 H6 O5",1,1
"C9 H10 O4",1,1
"C6 H14 O6",1,0
"C10 H14 O3",1,1
"C7 H5 O3 N1 S1",1,0
"C8 H9 O4 N1",1,0
"C8 H8 O5",1,1
"C9 H12 O4",1,1
"C10 H16 O3",1,1
"C11 H20 O2",1,0
"C8 H11 O4 N1",1,0
"C8 H10 O3 S1",1,1
"C8 H10 O5",1,1
"C9 H14 O4",1,1
"C10 H18 O3",1,1
"C11 H22 O2",1,0
"C8 H13 O4 N1",1,1
"C9 H17 O3 N1",1,1
"C5 H5 O2 N2 P1 S1",1,1
"C8 H12 O5",1,1
"C9 H16 O4",1,1
"C8 H16 O3 N2",1,0
"C13 H16 O1",1,0
"C10 H20 O3",1,1
"C10 H7 O3 N1",1,0
"C8 H15 O4 N1",1,1
"C7 H10 O6",1,1
"C8 H14 O5",1,1
"C9 H18 O4",1,1
"C7 H13 O5 N1",1,1
"C10 H8 O4",1,1
"C11 H12 O3",1,1
"C12 H16 O2",1,1
"C9 H6 O5",1,1
"C10 H10 O4",1,1
"C11 H14 O3",1,1
"C8 H18 O3 S1",1,1
"C10 H13 O3 N1",1,1
"C9 H8 O5",1,1
"C10 H12 O4",1,1
"C11 H16 O3",1,1
"C12 H20 O2",1,1
"C5 H11 O3 N1 S2",1,0
"C9 H11 O4 N1",1,0
"C9 H10 O5",1,1
"C10 H14 O4",1,1
"C11 H18 O3",1,1
"C12 H22 O2",1,0
"C9 H13 O4 N1",1,0
"C8 H8 O4 S1",1,1
"C8 H8 O6",1,1
"C9 H12 O5",1,1
"C10 H16 O4",1,1
"C11 H20 O3",1,1
"C12 H24 O2",1,1
"C9 H15 O4 N1",1,0
"C10 H19 O3 N1",1,0
"C6 H7 O2 N2 P1 S1",1,1
"C8 H10 O6",1,1
"C9 H14 O5",1,1
"C10 H18 O4",1,1
"C11 H22 O3",1,1
"C8 H13 O5 N1",1,0
"C9 H17 O4 N1",1,1
"C8 H12 O6",1,1
"C12 H12 O3",1,1
"C11 H12 O2 N2",1,0
"C9 H16 O5",1,1
"C10 H20 O4",1,1
"C11 H11 O3 N1",1,1
"C11 H10 O4",1,1
"C8 H14 O6",1,1
"C12 H14 O3",1,1
"C9 H18 O5",1,0
"C14 H22 O1",1,1
"C10 H8 O3 S1",1,1
"C10 H8 O5",1,1
"C11 H12 O4",1,1
"C8 H16 O6",1,1
"C12 H16 O3",1,1
"C13 H20 O2",1,1
"C10 H11 O4 N1",1,1
"C7 H15 O6 N1",1,0
"C9 H6 O6",1,1
"C10 H10 O5",1,1
"C7 H14 O5 S1",1,1
"C11 H14 O4",1,1
"C8 H18 O4 S1",1,1
"C12 H18 O3",1,1
"C13 H22 O2",1,1
"C9 H9 O5 N1",1,1
"C10 H13 O4 N1",1,1
"C9 H8 O6",1,1
"C10 H12 O5",1,1
"C11 H16 O4",1,1
"C12 H20 O3",1,1
"C9 H11 O5 N1",1,1
"C10 H15 O4 N1",1,0
"C7 H6 O6 N2",1,0
"C9 H10 O4 S1",1,1
"C9 H10 O6",1,1
"C10 H14 O5",1,1
"C11 H18 O4",1,1
"C12 H22 O3",1,1
"C13 H26 O2",1,0
