"","Mass","Heteroatom.Class","El_form","Class","C","H","O","N","S","P","H.C","O.C","DBE","AImod","NOSC","GFE"
"C5 H11 O1 P1",117.0476575,"P1 O1","CHOP","Lipid",5,11,1,0,0,1,2.2,2.2,1,-0.1429,-1.8,111.6
"C5 H10 O3",117.055832,"O3","CHO","Other",5,10,3,0,0,0,2,2,1,-0.1429,-0.8,83.1
"C7 H6 O2",121.0296252,"O2","CHO","Lignin",7,6,2,0,0,0,0.86,0.86,5,0.6667,-0.2857,68.44245
"C7 H10 O2",125.0609203,"O2","CHO","Lignin",7,10,2,0,0,0,1.43,1.43,3,0.3333,-0.8571,84.72735
"C6 H8 O3",127.040199,"O3","CHO","Lignin",6,8,3,0,0,0,1.33,1.33,3,0.3333,-0.3333,69.79905
"C7 H12 O2",127.0765857,"O2","CHO","Lipid",7,12,2,0,0,0,1.71,1.71,2,0.1667,-1.1429,92.87265
"C5 H7 O3 N1",128.0354525,"N1 O3","CHON","Lignin",5,7,3,1,0,0,1.4,1.4,3,0.2,0.4,48.9
"C5 H6 O4",129.0194585,"O4","CHO","Tannin",5,6,4,0,0,0,1.2,1.2,3,0.3333,0.4,48.9
"C6 H10 O3",129.0558466,"O3","CHO","Protein",6,10,3,0,0,0,1.67,1.67,2,0.1111,-0.6667,79.30095
"C7 H14 O2",129.092238,"O2","CHO","Lipid",7,14,2,0,0,0,2,2,1,0,-1.4286,101.0151
"C5 H8 O4",131.035115,"O4","CHO","Carbohydrate",5,8,4,0,0,0,1.6,1.6,2,0,0,60.3
"C6 H12 O3",131.0715009,"O3","CHO","Protein",6,12,3,0,0,0,2,2,1,-0.1111,-1,88.8
"C8 H8 O2",135.0452933,"O2","CHO","Other",8,8,2,0,0,0,1,1,5,0.5714,-0.5,74.55
"C7 H6 O3",137.0245481,"O3","CHO","Lignin",7,6,3,0,0,0,0.86,0.86,5,0.6364,0,60.3
"C6 H6 O2 N2",137.0357921,"N2 O2","CHON","Lignin",6,6,2,2,0,0,1,1,5,0.6667,0.6667,41.29905
"C6 H5 O3 N1",138.019807,"N1 O3","CHON","Lignin",6,5,3,1,0,0,0.83,0.83,5,0.7143,0.6667,41.29905
"C7 H8 O3",139.0402006,"O3","CHO","Lignin",7,8,3,0,0,0,1.14,1.14,4,0.4545,-0.2857,68.44245
"C8 H12 O2",139.0765902,"O2","CHO","Other",8,12,2,0,0,0,1.5,1.5,3,0.2857,-1,88.8
"C7 H10 O3",141.0558644,"O3","CHO","Lignin",7,10,3,0,0,0,1.43,1.43,3,0.2727,-0.5714,76.5849
"C8 H14 O2",141.0922395,"O2","CHO","Lipid",8,14,2,0,0,0,1.75,1.75,2,0.1429,-1.25,95.925
"C6 H8 O4",143.0351229,"O4","CHO","Other",6,8,4,0,0,0,1.33,1.33,3,0.25,0,60.3
"C7 H12 O3",143.0715174,"O3","CHO","Protein",7,12,3,0,0,0,1.71,1.71,2,0.0909,-0.8571,84.72735
"C8 H16 O2",143.1079,"O2","CHO","Lipid",8,16,2,0,0,0,2,2,1,0,-1.5,103.05
"C9 H7 O1 N1",144.0456342,"N1 O1","CHON","Unsat Hydrocarbon",9,7,1,1,0,0,0.78,0.78,7,0.7333,-0.2222,66.6327
"C6 H11 O3 N1",144.0667659,"N1 O3","CHON","Protein",6,11,3,1,0,0,1.83,1.83,2,-0.1429,-0.3333,69.79905
"C6 H10 O4",145.0507759,"O4","CHO","Amino Sugar",6,10,4,0,0,0,1.67,1.67,2,0,-0.3333,69.79905
"C7 H14 O3",145.0871587,"O3","CHO","Protein",7,14,3,0,0,0,2,2,1,-0.0909,-1.1429,92.87265
"C5 H9 O4 N1",146.0460263,"N1 O4","CHON","Carbohydrate",5,9,4,1,0,0,1.8,1.8,2,-0.5,0.4,48.9
"C9 H8 O2",147.0452948,"O2","CHO","Other",9,8,2,0,0,0,0.89,0.89,6,0.625,-0.4444,72.9654
"C6 H12 O4",147.0664324,"O4","CHO","Other",6,12,4,0,0,0,2,2,1,-0.25,-0.6667,79.30095
"C8 H6 O3",149.0245592,"O3","CHO","Cond Hydrocarbon",8,6,3,0,0,0,0.75,0.75,6,0.6923,0,60.3
"C9 H10 O2",149.0609449,"O2","CHO","Other",9,10,2,0,0,0,1.11,1.11,5,0.5,-0.6667,79.30095
"C7 H5 O1 N1 S1",150.0020442,"N1 S1 O1","CHONS","Unsat Hydrocarbon",7,5,1,1,1,0,0.71,0.71,6,0.7778,0.2857,52.15755
